PLAYER_NAME,TEAM_HIST,Season,MIN,PLAYER_FGM,PLAYER_FGA,PLAYER_FG3M,PLAYER_FTM,PLAYER_FTA,PLAYER_AST,PLAYER_TOV,PLAYER_OREB,PLAYER_DREB,PLAYER_STL,PLAYER_BLK,PLAYER_PF,TEAM_FGM,TEAM_AST,TEAM_FGA,TEAM_FTM,TEAM_FTA,TEAM_PTS,TEAM_OREB,TEAM_TOV,TEAM_PF,TEAM_DREB%,TEAM_PACE,PLAYER_RAW_PER,PLAYER_PACE_CORRECTED_PER,Min * cPER,PLAYER_PER
Rodney Hood,2019-20 POR,2019-20,618.6716666666666,87,172,35,21,27,32,19,10,62,17,4,46,3122,1525,6749,1312,1632,8508,754,946.0,1606,0.712,103.2,0.2684684900102664,0.26711574180478836,165.2569411752714,12.131241091773912
Rodney Hood,2020-21 TOR,2020-21,942.7166666666667,94,260,34,24,28,53,36,23,80,24,7,74,2859,1735,6383,1252,1536,8011,680,952.0,1526,0.716,101.6,0.1254547437980008,0.1252324814566264,118.058747477186,5.595390748423996
Rodney McGruder,2020-21 DET,2020-21,193.65833333333333,37,70,11,6,8,16,7,8,14,8,1,12,2783,1743,6162,1278,1683,7676,694,1075.0,1477,0.725,100.1,0.3510158247850639,0.35564460489211974,68.87354144239976,15.890210820660691
Rodney McGruder,2021-22 DET,2021-22,754.0566666666666,98,225,58,19,26,48,24,31,80,21,7,58,3129,1924,7267,1413,1806,8596,900,1163.0,1799,0.707,100.9,0.258721582200686,0.2578925107281565,194.46556699797125,11.574962056778356
Rodney McGruder,2019-20 LAC,2019-20,871.0133333333333,72,181,24,19,34,36,24,29,122,26,8,74,2992,1708,6425,1498,1894,8377,767,1051.0,1594,0.737,103.9,0.1544530058916154,0.15263940947979857,132.95096084903093,6.932221455741411
Romeo Langford,2019-20 BOS,2019-20,369.84833333333336,28,80,5,18,25,13,11,15,26,8,8,33,2971,1655,6448,1336,1668,8183,768,995.0,1553,0.731,101.9,0.11960270760143749,0.12051821409730717,44.5734606201989,5.473415760846223
Romeo Langford,2020-21 BOS,2020-21,282.75,21,59,5,9,12,13,10,12,23,6,5,24,2985,1689,6401,1160,1496,8109,765,1012.0,1471,0.737,100.7,0.11573124772460427,0.11655872039949716,32.95697819295782,5.207846863574038
Romeo Langford,2021-22 SAS,2021-22,770.9066666666666,83,191,29,23,42,21,16,30,78,22,16,47,3546,2289,7601,1262,1673,9279,901,1043.0,1483,0.711,102.4,0.2010032737242596,0.19742421152610953,152.195640826888,8.860969832167399
Rondae Hollis-Jefferson,2020-21 POR,2020-21,107.30166666666666,9,18,0,9,16,13,2,11,15,2,4,15,2973,1531,6558,1282,1558,8360,766,799.0,1362,0.731,100.8,0.3114886618222307,0.31340456430566105,33.62883209093794,14.002924634509506
Rondae Hollis-Jefferson,2019-20 TOR,2019-20,1121.895,155,329,3,105,143,106,59,110,173,46,23,115,2897,1816,6331,1329,1670,8118,685,1067.0,1559,0.721,103.3,0.3293992250129937,0.327422191910302,367.33331999320825,14.870099088970036
